New Mexico	Battle — Jack Lane (incumbent, returning starter; below-average game-manager, still recovering from an elbow injury, weak in short-yardage) vs Luke Moga (transfer from Oregon; quick-twitch dual-threat, accuracy + off-script ability, high ceiling) [lead: unsettled — Lane held it through injury, but if Moga wins the job the hosts flip New Mexico to a conference contender]. James Lobstein (3rd, change-of-pace runner).				Lean Under	Y		Y	Y	Favorable	Does NOT play NIU (misses an easy win). Toughest games at HOME: hosts UNLV, North Dakota State, Air Force. Soft road slate: New Mexico State, Hawaii (after a bye), San José State, Nevada, Wyoming. Non-con: @ Oklahoma (only sure loss).	Jack Lane — elbow (still recovering); two projected WRs hurt in the spring	POD-LINE DIVERGENCE: hosts quote the win total at 8.5 (our Layer A snapshot = 7.5) — the line moved up ~1 as their returning production spiked (135th→21st, a rare G6 returning-production darling). Edge vs the live 8.5 line is ~-0.2 (Stuckey/Calabrese lean under). Jason Eck (yr 2, returning) is why nobody fully commits to the under — he squeezed 9-3 out of a bottom-5 returning-production roster in 2025. Regression risks: many close games went their way, and top-20 special teams loses its (2nd-team all-MW) kicker AND punter. THE swing: if freshman-caliber Oregon transfer Luke Moga wins QB1 over game-manager Jack Lane, Calabrese would bet them to WIN the league; with Lane, it's an under. Defense solid under DC Ohanwe/Owinski but loses DL havoc. Dream schedule (favored in up to 11) is the whole reason the number is this high.	8.5
UNLV	Battle — Jackson Arnold (transfer, ex-Oklahoma → Auburn; slow processor, hangs on the ball, 64 sacks taken across his last 17+ starts, more turnover-worthy plays than big-time throws) vs Alex Orji (holdover) [lead: unsettled — Arnold has NOT locked down the job; hosts are down on both]. Dan Mullen's system may partially mask it.				No Play	Y			Y	Favorable	Akron after a bye = documented ATS fade spot (mirrors last year's flat Miami-OH post-bye loss). @ Cal (national TV). Hosts North Dakota State (a play-ON spot for the opponent). Wyoming before the New Mexico showdown = tough.	DT Fuller expected eligible (helps a thin DL)	POD-LINE DIVERGENCE: hosts peg the total ~8.5 (Layer A = 7.5) — implied ~8.2. Preseason favorite (~+300 to win MW). Second straight rebuild under Dan Mullen (bottom-20 returning production); 2025's 10-2 was fragile — 5-1 in one-score games, +7 turnover margin, regression looming. Hosts dislike the portal haul and are firmly OFF Jackson Arnold (hasn't beaten out Orji — 'can't be a good sign'). RB Jet Thomas is explosive (1,000+ yds, 7.0/carry) but 5'9"/~185 and has never had 200 touches — durability risk; if he breaks down the offense could fall off a cliff. Defense was bottom-5 nationally in explosive plays allowed (22 gave-up 40-yd plays). Everyone PASSES the win total on schedule strength, but flags UNLV as a repeat-fade target and possible 7-5.	8.5
Air Force	Returning — Liam Zarka (incumbent, healthy for the first time in ~4 years; runs the flexbone triple-option; pre-injury 2025 four-game stretch = ~227 pass / 134 rush yds per game, 13 total TD, only 3 giveaways) [no battle; his health is the swing variable — the offense fell off a cliff when he got hurt].			Steve Russ (returning for a 2nd stint)	Lean Over	Y				Favorable	NO Power-4 opponents on the schedule. Hosts Navy AND UNLV. Gets North Dakota State early (NDSU's first-ever FBS road game). Favored in ~9 games.	DL depth is the fear — no depth; if the defensive line gets hurt the whole defense collapses (as in 2024)	UNANIMOUS conference-title pick and the pod's favorite G6 future (~+600). Line moved 6.5→7.5 on over money — our Layer A 7.5 matches the current number. Calhoun history: every time Air Force has back-to-back down years they roar back with 10+ wins. 2025 was 4-8 but with brutal injury luck — lost to Army, UNLV, Navy each by a field goal; win two of those and it's a bowl team. Zarka healthy is Air Force's Blake-Horvath-tier engine. Owen Allen + Kemper Hodges = bruising fullbacks; slotback attrition is the Air Force norm (they find diamonds). DEFENSE is the 6-6-vs-title swing: 3rd in returning production, young 2025 corners should improve, new DC Steve Russ (mixed track record), thumper LB Isaac Hubert (won the academy heavyweight boxing title). New center + thin DL are the only real worries. Stuckey: 70% on the over 7.5, 30% on +600 to win the league.	
North Dakota State	Returning — Nathan Hayes (waited his turn, first year starting; mobile with a nice deep ball, fits the NDSU QB mold) [no battle; hosts see a step DOWN from NDSU's drafted-QB lineage — Wentz / Easton Stick / Cam Miller — this is not that tier].				Lean Under		Y		Y	Neutral	Road slate is the problem: @ UNLV, @ New Mexico, @ Hawaii, @ Air Force are all named fade spots (elite home crowds / unfamiliar athletes / altitude/travel). Elite home-field edge in the Fargo Dome — the play-ON spots.		LAYER-A GAP: NDSU is absent from our market snapshot AND from the Three Straight TARP sheet (FCS newcomer) — the pod fills the market at 8.5 (opened 9.5 ~65 days ago, bet down). SP+ #72 and 52% returning production (65th) DO exist in Layer A. Elite FCS dynasty (9-10 national titles) making the jump — hosts agree they're better-equipped than fellow-newcomer Sacramento State, but still see turbulence: lost QB + Bryce Lance (1,100 rec yds) to the NFL/portal, ~4-5 multi-year OL/skill starters, 7 defensive starters incl. LB Steele (to Michigan) and their center (to Michigan State). Depth built on FCS blowout reps now gets stress-tested by stronger athletes, new schemes, and heavy travel. Duck (the NDSU expert): 7-8 wins likely, ten is NOT on the table, fade on the road, play them at home. Lean under 8.5; best number (under 9.5) is gone.	8.5
Hawaii	Returning — Michael Alahado (incumbent, run-and-shoot trigger; small and injury-prone, missed games in 2025) [no viable backup — depth departed (Luke Weaver left for San José State); durability is the season's swing risk, and the run-and-shoot is NOT plug-and-play behind him].				Hard Under		Y			Brutal	Toughest games are FRONT-LOADED (first 7, up to the New Mexico game) — bad if WR Ashlock isn't healthy early. Only 6 home games (played 7 on the island each of the last two years); two Power-4 road environments; North Dakota State comes in off a bye while Hawaii is back from El Paso (UTEP).	QB Alahado — chronic durability/small frame; all-conf WR Ashlock hurt (status unknown); LB Otis coming off an ACL	UNANIMOUS HARD UNDER (7.5, -140/-150) — all three hosts. 2025's 8-4 (9-4 w/ bowl) increasingly looks like the outlier under Timmy Chang (2-15 road record his first three years; home dominance only arrived in 2025). Roster gutted: 3 multi-year OL starters, the RB, WR Jackson Harris (to LSU) + another WR (to Kansas State) gone; the run-and-shoot is a complex system transfers can't just plug into. Defense significantly worse — lost underrated S Meinuma + 6 other multi-year starters (7 total). Special teams falls off a cliff — lost an All-American kicker (Tokyoto, automatic from 55) and a good punter; return man Cam Barfield now starts at RB. Alahado won't play 10+ games given how fragile he is and how little max-protect the scheme offers. Projection 6.5; hosts see 5-7 / 6-6 as the ceiling.	
Wyoming	Transfer — Tyler Hughes (from William & Mary; dual-threat, ~11 rush TD on 155 carries in 2025; reunites with new OC Christian Taylor who coached him at W&M) [starter; thin behind him — backup Mason Drew was poor in 2025, so they can't get Hughes hurt].		Christian Taylor (from the Bills; coached Hughes at William & Mary)		No Play			Y	Y	Neutral	Home altitude/wind/snow edge late in the season (Laramie). Favored spots: hosts Northern Illinois, Northern Colorado. Several winnable road games — but must not trip up.	LT returns after missing 2025; backup QB Mason Drew is the drop-off risk	HOST SPLIT: Stuckey projects 6.1 and sees over value but PASSES; Duck wants the over and sees a bowl via schedule (6-6 ceiling, 'ekeing into UConn' for the bowl); Calabrese is UNDER 5.5. The number was built on the old Craig-Bohl identity (run game, defense, weaponized weather) — but Jay Sawvel is 7-17 and 2025 collapsed (lost 5 of 6, ~8 pts/game over the last four; 120th in returning production). New OC Christian Taylor may add tempo, but the WR room is bare, so it likely reverts to 'three yards and a cloud of dust' behind Hughes + RB Tode Harris + a good TE room. Calabrese: a dog in 7 games, they'll trip up at least once in low-scoring variance games — under 5.5. Genuine coin-flip team.	
Nevada	Battle — Carter Jones (returning; started games as a true freshman and came on late, sharper than the alternatives) vs Luke Duncan (transfer from UCLA); AJ Bianco (holdover) also in the mix [lead: unsettled — Jones edged ahead down the stretch, Duncan is the threat]. New OC (from Colorado) installing an air-raid.				Lean Over	Y		Y	Y	Neutral	Opener vs Western Kentucky. @ Montana State (FCS champ — likely a dog). @ Middle Tennessee winnable (Duck fades Derek Mason). @ UTEP winnable. @ North Dakota State NOT winnable.		collin_proj = '—': no clean pod projection number was stated (Duck: '5 wins would not stun me,' leans over; Stuckey sees a little over value but can't get there; Calabrese is down on them). NO proj_minus_mkt without a projection. QB rooms: 42 TD vs 45 INT since Carson Strong (2021) — they simply need a QB. New OC from Colorado brings an air-raid, but the actual strength is a big, beefy, continuity OL that should run it. Duck likes the roster's toughness under Jeff Choate ('best team since he's been there,' on the cusp of a breakthrough; 5 wins wouldn't stun). Calabrese cooler — a revamped defense that never forces turnovers (28 in two years, ~95th) plus all-new skill players. Lean over / dark-horse feisty, but nobody logged a bet.	
UTEP	Transfer — EJ Colson (started at UCF, then a strong year at Incarnate Word (FCS); efficient and mobile; named QB1 in the spring with a full media push, locker-room leader) [starter; the hoped-for big upgrade — but Walden overruns his QBs (~25% carry share), so durability is a watch].			Kyle Bayer (promoted from within, in-house)	No Play				Y	Brutal	Non-con gauntlet: @ Oklahoma, @ Michigan (bowl eligibility 'off the table' per Duck). Hosts Texas Southern (a fun home win). Betting deliverable is IN-GAME OVERS (vs Oklahoma, Oregon State, San José State), not the season win total.	lost 17 players to season-ending injuries in 2025 (positive-regression angle)	Year 3 for Scottie Walden. Positive-regression case: avg margin of defeat improved 19→12, 0-3 in one-score games, -12 turnover margin, 17 season-ending injuries — all could bounce. But the roster got hammered: top-15 snap counts (all offense) gone, 10 transferred out, replacements are D2/low-FCS (Texas A&M-Kingsville, Virginia State, Northwestern State). New DC Kyle Bayer promoted in-house keeps the aggressive 3-3-5 (top-2 in TFLs but still gave up ~30 pts/game and took no ball away — a Texas-State-style 'great TFLs, bad defense' profile). Whole thing hinges on EJ Colson being a real upgrade + the young recruited talent hitting. Stuckey 3.2 (pass); Calabrese & Duck: no season play, but keep hammering UTEP game/team-total overs all year.	
San José State	Battle — Luke Weaver (transfer from Hawaii) vs Nick Rolovich (freshman, son of ex-Hawaii HC Nick Rolovich; big arm) plus another freshman [lead: unsettled; a downgrade from departed starter Walker Eget either way].				Lean Under		Y			Brutal	@ USC opener (Duck already played the over). Cal Poly (FCS) at home in Week 3 after back-to-back road games = upset risk. @ Eastern Washington on a short week after USC. The EMU game is the 'canary in the coal mine.'		Roster decimated on both sides: ONE returning offensive starter, NO returning defensive starters, gone are 12 of the top-13 tacklers. Worst returning production in FBS (24%; TARP net -8.5). QB is a downgrade (Weaver from Hawaii / freshman Rolovich vs departed Walker Eget) with no receivers resembling Nick Nash / Danny Scudero. LT has been among the worst in FBS two years running. Duck already played the USC-opener over and has SJSU favored in just 2 games; Calabrese: 2-11 is on the table if they lose the EMU game and the offense isn't together. Everyone's bearish; the 13th game is the only thing that kept some hosts off the outright under. Ken Niumatalolo respect is the sole restraint. Lean under / fade.	
Northern Illinois	Battle — Karim Dickens (transfer from Western Carolina, originally a UNC commit; dynamic playmaker, elite anticipation/layered passes, Manziel/Joey-Hamilton comp, 38 TD / 2 INT at the FCS level in 2025, ~5'10"/175) vs Josh Macon (holdover, poor) + others (Davidson; a D2 Charleston transfer) [lead: Dickens is the upside play — if he wins QB1 the hosts see the offense jump; if not, it's a mess].	Rob Harley (interim; promoted from DC)	Tony Peterson (from Illinois State)		Lean Under		Y		Y	Brutal	Brutal open: @ Iowa, @ Arizona, @ Georgia State. 7 road games total (Duck: won't win a single one) incl. @ Wyoming (altitude), @ Las Vegas, @ San José State. Home games are the tougher opponents (Air Force, Hawaii) but also the winnable ones (UTEP, Illinois State, Nevada).		Moving up from the MAC with quirky travel/elevation and 12 unfamiliar opponents. Lost HC Thomas Hammock (to the NFL) → interim HC Rob Harley (ex-DC); new OC Tony Peterson (from Illinois State, an FCS-title near-miss). Roster gutted on defense: lost 17 of top-19 by snaps, top-14 tacklers gone; replacements are D2 / low-FCS (NEC, Pioneer non-scholarship, OVC) — 'atrocious,' no idea how they get stops. Offense has pieces (Telly Johnson RB ~6.0/carry, WR Dari Rodgers) and TARP actually grades +2.5 (off +5.0). The whole ceiling is Karim Dickens winning QB1 — genuinely dynamic FCS transfer (spend 3 min on his tape). Duck logged & BET under 3.5; betting deliverable is game overs / opponent team overs given the boom-bust deep-shot offense + porous D. Calabrese won't bet preseason but is intrigued by Dickens; note NIU over vs Iowa Week 1 (Iowa unders hit ~60%).	
